State,SETTLEMENTDATE,TOTALDEMAND,RRP,Precipitation,AirTemp,Humidity,WindSpeed
SA1,2000-01-06 06:30:00,1134.68,17.61,0.0,13.1,71.0,3.6
SA1,2000-01-06 07:00:00,1211.39167,23.45,0.0,12.9,72.0,7.6
SA1,2000-01-06 07:30:00,1273.13,36.5,0.0,14.4,67.0,5.4
SA1,2000-01-06 08:00:00,1281.505,36.5,0.0,15.2,62.0,5.4
SA1,2000-01-06 08:30:00,1317.215,34.46,0.0,15.7,60.0,3.6
SA1,2000-01-06 09:00:00,1336.80167,34.46,0.0,16.7,55.0,11.2
SA1,2000-01-06 09:30:00,1339.79833,30.71,0.0,17.5,52.0,14.8
SA1,2000-01-06 10:00:00,1328.94667,33.05,0.0,17.1,51.0,18.4
SA1,2000-01-06 10:30:00,1364.735,28.49,0.0,17.5,49.0,22.3
SA1,2000-01-06 11:00:00,1360.17333,16.26,0.0,17.8,47.0,14.8
SA1,2000-01-06 11:30:00,1369.28667,24.47,0.0,19.2,44.0,14.8
SA1,2000-01-06 12:00:00,1376.43167,31.47,0.0,20.1,40.0,13.0
SA1,2000-01-06 12:30:00,1386.29833,36.82,0.0,20.2,39.0,14.8
SA1,2000-01-06 13:00:00,1418.995,41.42,0.0,21.5,39.0,13.0
SA1,2000-01-06 13:30:00,1429.67833,51.17,0.0,21.6,36.0,14.8
SA1,2000-01-06 14:00:00,1440.87,51.17,0.0,23.0,36.0,11.2
SA1,2000-01-06 14:30:00,1428.79,51.18,0.0,23.2,34.0,16.6
SA1,2000-01-06 15:00:00,1434.40333,51.19,0.0,23.0,33.0,14.8
SA1,2000-01-06 15:30:00,1431.00333,54.18,0.0,23.6,34.0,16.6
SA1,2000-01-06 16:00:00,1422.035,54.18,0.0,23.4,34.0,18.4
SA1,2000-01-06 16:30:00,1408.59167,54.18,0.0,23.5,36.0,16.6
SA1,2000-01-06 17:00:00,1399.54,54.18,0.0,23.1,34.0,18.4
SA1,2000-01-06 17:30:00,1381.08167,39.52,0.0,22.6,34.0,18.4
SA1,2000-01-06 18:00:00,1352.78,39.51,0.0,21.6,37.0,22.3
SA1,2000-01-06 18:30:00,1311.30167,34.46,0.0,21.0,41.0,18.4
SA1,2000-01-06 19:00:00,1288.27,33.55,0.0,19.4,47.0,24.1
SA1,2000-01-06 19:30:00,1277.145,30.97,0.0,18.8,51.0,20.5
SA1,2000-01-06 20:00:00,1271.925,30.82,0.0,17.5,56.0,25.9
SA1,2000-01-06 20:30:00,1317.695,36.5,0.0,16.3,62.0,22.3
SA1,2000-01-06 21:00:00,1322.83667,36.5,0.0,15.6,65.0,20.5
SA1,2000-01-06 21:30:00,1296.585,36.5,0.0,15.2,67.0,14.8
SA1,2000-01-06 22:00:00,1262.81167,28.7,0.0,15.0,67.0,14.8
SA1,2000-01-06 22:30:00,1242.09167,21.21,0.0,14.7,69.0,14.8
SA1,2000-01-06 23:00:00,1262.215,30.38,0.0,14.6,69.0,13.0
SA1,2000-01-06 23:30:00,1304.41,39.51,0.0,14.4,70.0,11.2
SA1,2000-01-07 00:00:00,1367.29667,39.51,0.0,14.6,66.0,13.0
SA1,2000-01-07 00:30:00,1372.60167,41.42,0.0,14.4,67.0,13.0
SA1,2000-01-07 01:00:00,1395.36,41.43,0.0,14.4,70.0,5.4
SA1,2000-01-07 01:30:00,1311.11667,30.24,0.0,14.3,69.0,9.4
SA1,2000-01-07 02:00:00,1213.19333,24.14,0.0,14.4,67.0,9.4
SA1,2000-01-07 02:30:00,1131.42333,13.37,0.0,14.2,68.0,11.2
SA1,2000-01-07 03:00:00,1087.14833,8.4,0.0,14.0,68.0,11.2
SA1,2000-01-07 03:30:00,1036.905,5.21,0.0,13.9,67.0,20.5
SA1,2000-01-07 04:00:00,1020.925,5.27,0.0,13.8,63.0,16.6
SA1,2000-01-07 04:30:00,1036.79833,13.43,0.0,13.5,63.0,20.5
SA1,2000-01-07 05:00:00,1052.09,13.1,0.0,13.3,62.0,18.4
SA1,2000-01-07 05:30:00,1082.82667,13.71,0.0,13.1,60.0,16.6
SA1,2000-01-07 06:00:00,1098.465,14.35,0.0,12.9,62.0,11.2
